H  SOFTWARE NAME & VERSION
I  GPSU 4.04,
S SymbolSet=0

H : Data Source Is Ordnance Survey
H : Please Acknowledge If Re-Posting
  - Pub = Public Access (Not Guaranteed)
  - Pri = On Private Land - Permission Reqd
  - Pil = Pillar Is Intact
  - Stu = Only Stump / Base Remains
  - Rem = No Sign Of Pillar
  - Unk = State Of Pillar Unknown
  - Source Of Access Etc Data
  - Pass = Os Passive Stns
  - Int = Internet Trawl
  - Nm = Not On Current 50K Map
  - Mh = Height Is From Map
  - Mc = Coordinates Are From Map
  

H R DATUM
M E   Ord Srvy Grt Britn,075, 5.7360400E+02, 1.1960020E-05,375,-111,431

H  COORDINATE SYSTEM
U  BRITISH GRID

W,600230,NX,43678,01119,    96.0,Ballawhannel
W,600231,NS,98747,71150,   312.0,Ballencrieff Hill
W,600232,NT,17038,64289,   271.0,Balleny
W,600233,SC,43171,80752,   127.0,Ballig
W,600234,NN,03182,16972,   436.0,Ballimeanoch
W,600235,NR,71713,23870,   216.0,Ballivulline Hill
W,600236,NO,33108,10908,    41.0,Ballomill
W,600237,NO,14025,14541,   229.0,Balmanno Hill
W,600238,TQ,36161,10707,   170.0,Balmer Down
W,600239,NS,58770,71357,    72.0,Balmuildy
W,600240,HP,66246,08187,    43.0,Balta
W,600241,NX,34700,81081,   338.0,Balunton Hill
W,600242,TQ,35810,91158,    16.0,Banbury Resr Pri Pil Pass S3389 02
W,600243,SN,67953,38615,   311.0,Banc Goleugoed
W,600244,SO,04769,46430,   472.0,Banc Y Celyn
W,600245,SN,72387,80564,   389.0,Banc-Bwa-Drain
W,600246,SN,70679,84406,   438.0,Banc-Y-Garn
W,600247,SN,20414,47507,   146.0,Banc-Y-Warren
W,600248,NO,20344,31416,   275.0,Bandirran Hill
W,600249,NT,72617,22020,   230.0,Bank Hill
W,600250,SD,24539,80412,   311.0,Bank House Moor
W,600251,SK,11802,60064,   266.0,Bank Top pri pil s4188 K Stevens
W,600252,NJ,65541,08173,   251.0,Bankhead
W,600253,NT,16434,85800,   111.0,Bankhead
W,600254,NS,22817,75578,   202.0,Banks
W,600255,ST,79228,68434,   183.0,Bannerdown
W,600256,NX,22677,85634,   205.0,Barbae Hill
W,600257,NS,16790,57014,   127.0,Barbay Hill
W,600258,NS,34257,07219,    96.0,Barbrethan
W,600259,SP,53282,69850,   161.0,Barby
W,600260,NY,78191,66596,   280.0,Barcombe
W,600261,NX,56668,91480,   330.0,Bardennoch Hill
W,600262,TL,62218,30449,   114.0,Bardfield End
W,600263,SK,45992,13194,   279.0,Bardon Hill
W,600264,SP,17616,54203,    91.0,Bardon Hill
W,600265,NS,57620,73220,    75.0,Bardowie
W,600266,NM,74321,13140,    94.0,Bardrishaig
W,600267,NX,68977,71824,   189.0,Barend Hill
W,600268,SE,42965,75238,    42.0,Barf Hill
W,600269,TA,04494,47246,    11.0,Barf Hill
W,600270,SU,19748,22400,   110.0,Barford Down
W,600271,NX,37470,41908,   136.0,Barhullion Fell
W,600272,SK,77534,34821,    65.0,Barkestone
W,600273,NZ,02600,54849,   305.0,Barley Hill
W,600274,NX,59340,49430,    69.0,Barlocco
W,600275,NY,05606,79161,   246.0,Barlouth
W,600276,NX,74134,79128,   238.0,Barmark
W,600277,NJ,72616,07146,   275.0,Barmekin Hill
W,600278,TQ,19308,87360,    86.0,Barn Hill Pub Pil Jd 02
W,600279,NX,87405,73149,   185.0,Barnbauchle Hill
W,600280,SE,38344,35587,    99.0,Barnbow Wood
W,600281,TL,06445,03461,   129.0,Barnes Farm Pri Pil Jd 02
W,600282,TQ,69213,07872,    34.0,Barnhorn
W,600283,SE,50554,13348,    77.0,Barnsdale
W,600284,NS,06964,63080,   162.0,Barone Hill
W,600285,NJ,95769,03693,    84.0,Barons Cairn
W,600286,NS,31163,01404,   321.0,Barony Hill
W,600287,TQ,06613,09411,   142.0,Barpham Hill
W,600288,NS,75223,09958,   223.0,Barr
W,600289,NS,01354,96340,   164.0,Barr An Longairt
W,600290,SP,06070,97380,   227.0,Barr Beacon Resr
W,600291,NS,40809,63628,    98.0,Barr Hill
W,600292,NR,94261,69525,   116.0,Barr Iolaich
W,600293,NM,81496,38869,   127.0,Barr Mor
W,600294,NM,78046,03434,   107.0,Barrackan
W,600295,NX,37388,61717,   123.0,Barraer Fell
W,600296,NT,41870,18131,   384.0,Barrel Law
W,600297,NY,26673,39836,   373.0,Barren Fell
W,600298,ST,29535,17052,   102.0,Barrington Hill
W,600299,TL,39382,52078,    58.0,Barrington Hill
W,600300,NY,46869,47226,   223.0,Barrock Fell
W,600301,SO,91649,89600,   178.0,Barrow Hill
W,600302,ST,83812,30184,   118.0,Barrow Street
W,600303,SD,48742,91314,   229.0,Barrowfield
W,600304,NX,96151,15670,   130.0,Barrowmouth Wood
W,600305,NS,38893,71525,   195.0,Barscube Hill
W,600306,NS,45501,63628,    22.0,Barskiven Hill
W,600307,SP,29957,21867,   210.0,Barters Hill Pri Pil Pass S1575 02
W,600308,SW,39448,29328,   225.0,Bartinney Pri Pil Pass S1706 02
W,600309,NT,77226,40558,    85.0,Bartle Hill
W,600310,SO,99594,81373,   212.0,Bartley Farm
W,600311,ST,85461,97791,   191.0,Barton End
W,600312,SE,71814,72806,   116.0,Barton Heights
W,600313,SJ,73144,97656,    25.0,Barton Moss pil pub s2744 K Stevens
W,600314,NZ,80658,08134,   215.0,Barton Rigg
W,600315,SU,42601,41116,    95.0,Barton Stacey
W,600316,SE,30732,08214,   108.0,Barugh
W,600317,NN,85086,25812,   370.0,Barvick
W,600318,SD,69251,43679,   140.0,Bashall Eaves
W,600319,SK,61548,37651,    28.0,Bassingfield S4779 T Courtney
W,600320,SO,59899,57391,   253.0,Batchley Farm
W,600321,ST,61163,03816,   238.0,Batcombe Hill
W,600322,SK,26759,55587,   358.0,Batemans Plantation S4057 T Courtney
W,600323,SJ,65669,94335,    33.0,Bates Farm pub stu K Stevens
W,600324,NY,89274,78822,   250.0,Batey Catreen
W,600325,ST,77365,65107,   204.0,Bathampton Down
W,600326,NZ,40603,45998,   143.0,Batter Law Hill
W,600327,SU,20626,34846,   159.0,Battery Hill
