I  GPSU 4.15
W S10103 NY 78240 01537 C     260.0 Outhgill village roadside (S)
W EW3581 SD 92445 94710 C     584.0 Oxnop Common (5)
W EW3614 SD 76448 76966 C     563.0 Park Fell (5)
W EW3607 NY 69715 45530 C     511.0 Park Fell (5)
W EW3622 SD 91839 68749 C     538.0 Parson's Pulpit (5,Hu)
W EW2783 SD 83853 73384 C     694.0 Pen-y-ghent (Ma,Hew,N)
W EW3587 SD 99460 94665 C     565.0 Pickerstone Ridge (5)
W EW3598 NY 72989 53944 C     525.0 Pike Rigg (5)
W EW2785 SD 84890 75245 C     680.0 Plover Hill (Hew,N)
W EW5305 NZ 15000 52800 C     312.0 Pontop Pike (Hu)
W EW3625 SD 93715 67640 C     531.0 Proctor High Mark (5)
W EW5308 NY 57300 27500 C     221.0 Quarrystone Bank (Hu)
W S10086 NY 71400 30900 C     680.0 Radar Station road by gate (S)
W EW2759 NY 68715 00035 C     624.0 Randygill Top (Hew,N,Hu)
W EW3620 SD 81325 84610 C     545.0 Redshaw Moss [Snaizhold Fell] (5)
W EW2770 NY 61152 46278 C     609.0 Renwick Fell [Thack Moor] (sHew,5)
W S10118 SD 76401 79145 C     295.0 Ribblehead car park (S)
W EW2740 NY 91925 03060 C     672.0 Rogan's Seat (Ma,Hew,N)
W EW3577 NY 75410 20320 C     594.0 Roman Fell (5)
W EW2804 SE 11468 45225 C     402.0 Rombald's Moor [Ilkley Moor] (Ma)
W EW5313 SE 12200 53500 C     409.0 Round Hill (Hu)
W EW2728 NY 74425 36135 C     686.0 Round Hill (Hew,N)
W EW3618 SD 86421 63314 C     547.0 Rye Loaf Hill (5)
W EW2931 SD 80825 96570 C     666.0 Sails (O)
W EW2805 SD 95948 55272 C     357.0 Sharp Haw (Ma)
W EW5310 NZ 26900 60200 C     167.0 Sheriff Hill (Hu)
W EW2790 SD 75466 75181 C     650.0 Simon Fell (Hew,N)
W EW5609 SD 75555 75685 C     626.0 Simon Fell North Top (Un)
W EW5311 SE 07900 59800 C     485.0 Simon's Seat (Hu)
W EW3579 SD 65985 99960 C     587.0 Simon's Seat (5)
W EW5314 SE 01397 50914 C     373.0 Skipton Moor (Hu)
W EW5315 SD 80200 67800 C     363.0 Smearsett Scar (Hu)
W S10087 NY 75700 38400 C     450.0 South of Garrigill at road end (S)
W EW2758 NY 84105 43700 C     634.0 Stangend Rigg (xN)
W EW5309 NZ 34600 39200 C     193.0 Strawberry Hill (Hu)
W EW2729 SD 75593 96665 C     681.0 Swarth Fell (Hew,N)
W EW2751 SD 76100 95825 C     651.0 Swarth Fell Pike (xN)
W S10098 NY 89500 34700 C     410.0 Swinhope Bridge roadside (S)
W EW3590 SD 95613 94343 C     551.0 Tarn Seat [Conny Tammy Currack] [The Fleak] (5)
W EW2732 SD 66734 97055 C     676.0 The Calf (Ma,Hew,N)
W EW2806 SE 19955 44202 C     282.0 The Chevin (sMa,Hu)
W EW2766 NY 79160 45760 C     614.0 The Dodd (Hew,N)
W EW5549 NZ 36325 50870 C     170.0 The Moors (CoU)
W EW2803 SE 00850 59691 C     506.0 Thorpe Fell Top (xMa)
