I  GPSU 4.15
W S10064 NY 10986 15312 C     140.0 Ennerdale Bowness Knott carpark (S)
W EW2369 NY 23655 07507 C     885.0 Esk Pike (Hew,N,W,B,Hu)
W EW3776 NY 19700 03300 C     425.0 Eskdale Fell - Whinscales (B)
W EW3717 NY 38645 29484 C     345.0 Eycott Hill (B)
W EW2521 NY 35874 11762 C     873.0 Fairfield (Ma,Hew,N,W,B)
W EW2353 NY 30000 40700 C     344.0 Faulds Brow (WO)
W EW2495 NY 13222 24246 C     416.0 Felbarrow - Mosser Fell (W,B)
W EW2594 NY 51300 11800 C     508.0 Fewling Stones (WO)
W EW2704 SD 36200 88400 C     180.0 Finsthwaite Heights (WO)
W EW3778 NY 30495 16306 C     421.0 Fisher Crag (B)
W EW2512 NY 05100 13800 C     272.0 Flat Fell (WO)
W EW2438 NY 20585 14164 C     648.0 Fleetwith Pike (Hew,N,W,B,Hu)
W EW3767 NY 12217 17366 C     451.0 Floutern Cop (B)
W EW3850 NY 49154 16261 C     415.0 Four Stones Hill (B)
W EW3887 SD 22342 93652 C     385.0 Fox Haw (B)
W EW2548 NY 43523 08522 C     720.0 Froswick (Hew,N,W,B)
W EW3703 NY 28722 33230 C     625.0 Frozen Fell (B)
W EW3834 NY 39236 12438 C     512.0 Gale Crag (B)
W EW3749 NY 13379 16386 C     518.0 Gale Fell (B)
W EW3732 NY 17844 22208 C     703.0 Gasgale Crags (B)
W S10062 NY 19600 15000 C     110.0 Gatesgarth Farm (S)
W EW2474 NY 11664 18490 C     526.0 Gavel Fell (W,5,B)
W EW3757 NY 12027 18916 C     488.0 Gavel Fell - High Nook (B)
W EW3815 NY 37338 13442 C     784.0 Gavel Pike (B)
W EW2494 NY 31699 10058 C     420.0 Gibson Knott (W,B)
W EW3774 NY 13368 06428 C     433.0 Glade How (B)
W EW2389 NY 24606 10468 C     783.0 Glaramara (Hew,N,W,B,Hu)
W EW2392 NY 24588 10171 C     775.0 Glaramara - Looking Steads (sHew,N,B)
W EW3840 NY 52100 12000 C     476.0 Glede Howe (B)
W S10074 NY 38600 17000 C     160.0 Glenridding car pk (S)
W EW2612 NY 38048 17558 C     442.0 Glenridding Dodd (W,B)
W EW3811 NY 20400 01800 C     312.0 Goat Crag (B)
W EW2569 NY 47341 06913 C     626.0 Goat Scar (xN,B)
W EW3796 NY 10088 18296 C     365.0 Godworth (B)
W EW2610 NY 40762 21820 C     481.0 Gowbarrow Fell (W,B)
W EW3845 NY 40769 21359 C     442.0 Gowbarrow Fell - Green Hill (B)
W EW3841 NY 44468 16712 C     471.0 Gowk Hill (B)
W EW2633 SD 43215 97280 C     251.0 Grandsire (WO)
W EW2496 NY 26455 16265 C     415.0 Grange Fell [Brund Fell] (W,B)
W EW2372 NY 17498 20340 C     852.0 Grasmoor (Ma,Hew,N,W,B)
W EW5297 SD 35774 82582 C     205.0 Grassgarth Heights (Hu)
W EW2552 NY 42757 11711 C     699.0 Gray Crag (N,W,B)
W EW2603 SD 59866 99801 C     494.0 Grayrigg Forest (Ma)
W EW2489 NY 17615 26625 C     452.0 Graystones (W)
W EW3713 NY 17788 26423 C     456.0 Graystones (Birkett) (B)
W EW3806 NY 14400 01900 C     329.0 Great Bank (B)
W EW2451 NY 12391 16381 C     616.0 Great Borne (Hew,N,W,B,Hu)
W EW2331 NY 29086 31187 C     690.0 Great Calva (sMa,Hew,N,W,B,Hu)
W EW2637 NY 27028 00904 C     785.0 Great Carrs (sHew,N,W,B)
W EW2347 NY 27333 33321 C     526.0 Great Cockup (W,5,B)
W EW2491 NY 27000 14685 C     450.0 Great Crag (Stonethwaite) (W,B)
W EW2525 NY 34195 20562 C     857.0 Great Dodd (Hew,N,W,B,Hu)
W EW2364 NY 22675 08385 C     910.0 Great End (Hew,N,W,B)
W EW2367 NY 21108 10344 C     899.0 Great Gable (Ma,Hew,N,W,B)
W EW3864 NY 27256 00024 C     770.0 Great How (Swirl Band) (B)
W EW3861 NY 31377 18795 C     339.0 Great How (Thirlmere) (B,Hu)
W EW3571 NY 19745 04000 C     522.0 Great How - Eskdale Fell (5,B)
